Elapsed,Well,Area,DaysSinceSeeding,Radius,Condition,CellLine
80,D7,367737.9,3.3333333333333335,342.13244379109415,M100:F0,1205LU
86,D7,386772.6,3.5833333333333335,350.8753942427551,M100:F0,1205LU
92,D7,410641.7,3.8333333333333335,361.5401952609396,M100:F0,1205LU
98,D7,425648.0,4.083333333333333,368.0869006557529,M100:F0,1205LU
104,D7,441847.6,4.333333333333333,375.0259447912652,M100:F0,1205LU
110,D7,459512.6,4.583333333333333,382.44921676742615,M100:F0,1205LU
116,D7,471171.7,4.833333333333333,387.2707195232079,M100:F0,1205LU
122,D7,483304.3,5.083333333333333,392.2251097585883,M100:F0,1205LU
128,D7,492869.6,5.333333333333333,396.0874477681039,M100:F0,1205LU
134,D7,487392.9,5.583333333333333,393.88066533632707,M100:F0,1205LU
140,D7,509176.0,5.833333333333333,402.5863318687282,M100:F0,1205LU
146,D7,524358.8,6.083333333333333,408.5444773185278,M100:F0,1205LU
152,D7,538504.8,6.333333333333333,414.0186005452231,M100:F0,1205LU
158,D7,552087.4,6.583333333333333,419.2074396495188,M100:F0,1205LU
164,D7,568197.2,6.833333333333333,425.27965629917986,M100:F0,1205LU
170,D7,575855.9,7.083333333333333,428.1362236336285,M100:F0,1205LU
176,D7,589864.2,7.333333333333333,433.3123658123464,M100:F0,1205LU
182,D7,608030.6,7.583333333333333,439.93425768205634,M100:F0,1205LU
188,D7,611104.0,7.833333333333333,441.04471959933863,M100:F0,1205LU
194,D7,622651.7,8.083333333333334,445.1923087376328,M100:F0,1205LU
200,D7,636133.8,8.333333333333334,449.98630809799346,M100:F0,1205LU
206,D7,653285.0,8.583333333333334,456.0121423773469,M100:F0,1205LU
212,D7,658727.7,8.833333333333334,457.90778461728536,M100:F0,1205LU
218,D7,669769.3,9.083333333333334,461.729563329442,M100:F0,1205LU
224,D7,683641.4,9.333333333333334,466.48667314782676,M100:F0,1205LU
230,D7,662174.0,9.583333333333334,459.1040520120307,M100:F0,1205LU
236,D7,653809.6,9.833333333333334,456.1951987492522,M100:F0,1205LU
4,E7,1.050079e6,0.16666666666666666,578.1440365289508,M100:F0,1205LU
8,E7,890713.2,0.3333333333333333,532.46860688157,M100:F0,1205LU
12,E7,641997.3,0.5,452.05540312366685,M100:F0,1205LU
16,E7,485063.9,0.6666666666666666,392.93846184977315,M100:F0,1205LU
20,E7,413645.4,0.8333333333333334,362.86005593678755,M100:F0,1205LU
24,E7,379627.6,1.0,347.61935813217536,M100:F0,1205LU
28,E7,347760.9,1.1666666666666667,332.7096820024518,M100:F0,1205LU
32,E7,332542.5,1.3333333333333333,325.34837532447153,M100:F0,1205LU
36,E7,319311.1,1.5,318.8101000567909,M100:F0,1205LU
40,E7,310813.6,1.6666666666666667,314.5394119031417,M100:F0,1205LU
44,E7,311697.3,1.8333333333333333,314.98624110712336,M100:F0,1205LU
48,E7,312813.0,2.0,315.5494738179896,M100:F0,1205LU
52,E7,314201.2,2.1666666666666665,316.248870687012,M100:F0,1205LU
56,E7,320507.3,2.3333333333333335,319.4067034112998,M100:F0,1205LU
64,E7,331018.2,2.6666666666666665,324.60185699832846,M100:F0,1205LU
68,E7,337816.4,2.8333333333333335,327.9181297748234,M100:F0,1205LU
74,E7,353146.3,3.0833333333333335,335.2759439017759,M100:F0,1205LU
80,E7,371552.6,3.3333333333333335,343.902407402582,M100:F0,1205LU
86,E7,395050.3,3.5833333333333335,354.61023114099845,M100:F0,1205LU
92,E7,410556.5,3.8333333333333335,361.50268710898325,M100:F0,1205LU
98,E7,431425.0,4.083333333333333,370.5763654725459,M100:F0,1205LU
104,E7,448505.1,4.333333333333333,377.84071688192853,M100:F0,1205LU
110,E7,467355.5,4.583333333333333,385.69920405980696,M100:F0,1205LU
116,E7,481074.4,4.833333333333333,391.31922711506957,M100:F0,1205LU
122,E7,497311.1,5.083333333333333,397.8681183997227,M100:F0,1205LU
128,E7,514176.0,5.333333333333333,404.5581590308577,M100:F0,1205LU
134,E7,512021.9,5.583333333333333,403.7098372750016,M100:F0,1205LU
140,E7,537800.6,5.833333333333333,413.7478069737341,M100:F0,1205LU
146,E7,557564.1,6.083333333333333,421.28157473496,M100:F0,1205LU
152,E7,567931.0,6.333333333333333,425.18002301407154,M100:F0,1205LU
158,E7,575187.4,6.583333333333333,427.88764393044875,M100:F0,1205LU
164,E7,586346.6,6.833333333333333,432.01842496617274,M100:F0,1205LU
170,E7,599437.2,7.083333333333333,436.8143620650884,M100:F0,1205LU
176,E7,613194.7,7.333333333333333,441.79852327220794,M100:F0,1205LU
182,E7,623843.3,7.583333333333333,445.618098622038,M100:F0,1205LU
188,E7,641166.3,7.833333333333333,451.762738589497,M100:F0,1205LU
194,E7,656459.0,8.083333333333334,457.11857277332876,M100:F0,1205LU
200,E7,672475.9,8.333333333333334,462.6615687414962,M100:F0,1205LU
206,E7,687089.3,8.583333333333334,467.66154094719013,M100:F0,1205LU
